Date,ARIMA_Forecast,Prophet_Forecast,LSTM_Forecast
2023-03-10,1841.502586436593,,3480.629
2023-03-11,1630.4857173129442,,3548.732
2023-03-12,1443.6710840059884,,3786.4126
2023-03-13,1278.2828505318091,,4158.301
2023-03-14,1131.8635508896584,,4642.6885
2023-03-15,1002.2375741357262,,5229.6475
2023-03-16,887.4788374768477,,5918.145
2023-03-17,785.8821670460321,,6713.544
2023-03-18,695.9379611132877,,7623.2964
2023-03-19,616.3097592581788,,8661.257
2023-03-20,545.8143842095719,,9842.459
2023-03-21,483.40436128469906,,11184.05
2023-03-22,428.15235420199997,,12705.309
2023-03-23,379.2373860030382,,14427.757
2023-03-24,335.9326403433162,,16377.303
2023-03-25,297.59466189415485,,18583.258
2023-03-26,263.6537953868743,,21052.793
2023-03-27,233.60572123521706,,23817.646
2023-03-28,207.00396196575886,,26905.803
2023-03-29,183.45324811106826,,30342.385
2023-03-30,162.60364499093555,,34149.168
2023-03-31,144.14535311285442,,38342.977
2023-04-01,127.80410493209446,,42932.953
2023-04-02,113.3370895728731,,47916.887
2023-04-03,100.52934495698945,,53276.586
2023-04-04,89.19056373138318,,58972.457
2023-04-05,79.15226553462524,,64937.74
2023-04-06,70.26529358569377,,71073.125
2023-04-07,62.397598397419486,,77242.96
2023-04-08,55.43227568330459,,83274.88
